         2044106 function calls (2044077 primitive calls) in 1.430 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      164    0.001    0.000    1.416    0.009 base_events.py:1922(_run_once)
      164    0.000    0.000    0.712    0.004 windows_events.py:443(select)
      164    0.001    0.000    0.712    0.004 windows_events.py:761(_poll)
      272    0.709    0.003    0.709    0.003 {built-in method _overlapped.GetQueuedCompletionStatus}
      169    0.000    0.000    0.702    0.004 events.py:86(_run)
      169    0.001    0.000    0.702    0.004 {method 'run' of '_contextvars.Context' objects}
       56    0.010    0.000    0.696    0.012 profile_with_cprofile.py:30(profile_anonymization)
  107/106    0.081    0.001    0.678    0.006 structured_tokenizer.py:370(anonymize_batch)
  107/106    0.017    0.000    0.207    0.002 token_store.py:125(store_batch)
      106    0.000    0.000    0.177    0.002 client.py:730(execute_command)
      156    0.001    0.000    0.172    0.001 retry.py:37(call_with_retry)
      100    0.001    0.000    0.170    0.002 client.py:710(_send_command_parse_response)
       53    0.001    0.000    0.166    0.003 connection.py:608(send_command)
       53    0.064    0.001    0.154    0.003 connection.py:681(pack_command)
    40000    0.021    0.000    0.138    0.000 structured_tokenizer.py:176(generate_token)
    40000    0.066    0.000    0.121    0.000 crypto_engine.py:74(encrypt)
    10000    0.003    0.000    0.072    0.000 main.py:240(__init__)
    10000    0.014    0.000    0.069    0.000 {method 'validate_python' of 'pydantic_core._pydantic_core.SchemaValidator' objects}
    30000    0.016    0.000    0.065    0.000 uuid.py:723(uuid4)
    10000    0.050    0.000    0.056    0.000 _model_construction.py:357(init_private_attributes)
    80210    0.026    0.000    0.045    0.000 encoders.py:14(encode)
    30000    0.033    0.000    0.045    0.000 uuid.py:139(__init__)
    40000    0.018    0.000    0.034    0.000 structured_tokenizer.py:105(extract_field_value)
    40000    0.033    0.000    0.033    0.000 {method 'encrypt' of 'cryptography.hazmat.bindings._rust.openssl.aead.AESGCM' objects}
   430937    0.029    0.000    0.029    0.000 {built-in method builtins.isinstance}
    80316    0.022    0.000    0.022    0.000 {method 'join' of 'bytes' objects}
    10000    0.003    0.000    0.021    0.000 hmac.py:167(new)
